Entity,Year,Government expenditure on primary education as % of GDP (%),Share of education in government expenditure (% of government expenditure),Total Government expenditure on education (% of GDP),Expected Years of Schooling,"Unemployment, total (% of total labor force)","Literacy rate, youth (ages 15-24), gender parity index (GPI).1","Literacy rate, adult total (% of people ages 15 and above).1"
Benin,2005,1.66907000541687,18.7903900146484,2.6566801071167,9.071244,1.0399999619,0.52144730091,34.657848358
Benin,2007,1.84833002090454,14.9486904144287,2.36331009864807,9.860013,1.0399999619,0.52144730091,34.657848358
Benin,2008,2.14402008056641,19.0885791778564,2.77728009223938,10.254396,1.0399999619,0.52144730091,34.657848358
Benin,2009,2.42622995376587,18.1756191253662,3.08927011489868,10.648781,1.0399999619,0.52144730091,34.657848358
Benin,2013,2.29116010665894,22.3412208557129,3.3275101184845,12.55958,1.0399999619,0.52144730091,34.657848358
Benin,2014,2.14399003982544,22.227710723877,3.161789894104,12.56749,1.0399999619,0.52144730091,34.657848358
Bhutan,2008,1.12118005752563,15.6447296142578,4.91159009933472,10.62661,2.4900000095,0.84911000729,52.814689636
Botswana,2005,3.20687007904053,25.8235301971436,10.6785898208618,12.47957,16.170000076,,
Botswana,2007,2.4382700920105,26.5077896118164,8.85149002075195,12.53255,16.170000076,,
Brunei,2010,0.584119975566864,5.30208015441895,2.04661011695862,14.07944,,,
Burkina Faso,2011,2.80837988853455,19.5006103515625,3.98515009880066,7.16334,4.0,0.57908165455,23.522199631
Burkina Faso,2012,2.45750999450684,15.8953800201416,3.60315990447998,7.47298,4.0,0.57908165455,23.522199631
Burkina Faso,2013,2.70869994163513,16.1652793884277,4.08343982696533,7.72632,4.0,0.57908165455,23.522199631
Burundi,2001,1.16393995285034,11.4331302642822,2.90390992164612,4.4879,1.6299999952,0.80462133884,48.084060669
Burundi,2002,1.28817999362946,12.4860801696777,3.00493001937866,4.8518,1.6299999952,0.80462133884,48.084060669
Burundi,2004,1.89709997177124,9.17908000946045,3.74496006965637,5.73809,1.6299999952,0.80462133884,48.084060669
Burundi,2005,1.8724000453949,10.9592695236206,3.632159948349,6.05612,1.6299999952,0.80462133884,48.084060669
Burundi,2009,3.36638998985291,16.3016891479492,6.17194986343384,9.63227,1.6299999952,0.80462133884,48.084060669
Burundi,2011,2.98093008995056,14.9792995452881,6.31925010681152,10.538275,1.6299999952,0.80462133884,48.084060669
Burundi,2012,2.56094002723694,16.4283199310303,6.16786003112793,10.8298,1.6299999952,0.80462133884,48.084060669
Burundi,2013,2.45991992950439,17.2432594299316,5.99535989761353,11.06155,1.6299999952,0.80462133884,48.084060669
Cambodia,2002,1.10490000247955,10.1375703811646,1.71121001243591,9.32035,2.7599999905,0.96799010038,
Cameroon,2006,1.14225995540619,20.3126602172852,2.74145007133484,8.19684,4.4000000954,0.84456974268,70.67993927
Cameroon,2008,0.962589979171753,15.7006101608276,2.61118006706238,9.40126,4.4000000954,0.84456974268,70.67993927
Cameroon,2009,1.1832400560379,19.7797908782959,3.10942006111145,9.87057,4.4000000954,0.84456974268,70.67993927
Cameroon,2012,1.07325994968414,15.1762199401855,2.6971800327301,11.20685,4.4000000954,0.84456974268,70.67993927
Cameroon,2013,1.02597999572754,13.8249502182007,2.76801991462708,11.522085,4.4000000954,0.84456974268,70.67993927
Cape Verde,2002,3.45097994804382,19.7662296295166,7.87682008743286,11.59432,,,
Cape Verde,2006,3.17845988273621,17.5405807495117,6.52960014343262,12.32139,,,
Cape Verde,2007,2.2182400226593,18.3287506103516,5.40754985809326,12.34261,,,
Cape Verde,2008,2.00434994697571,18.2409896850586,5.51800012588501,12.57143,,,
Cape Verde,2009,2.34031009674072,15.886549949646,5.3089599609375,12.60637,,,
Cape Verde,2011,2.17570996284485,15.1532802581787,5.04361009597778,13.01834,,,
Cape Verde,2013,1.93412005901337,14.7782297134399,5.00144004821777,13.48058,,,
Central African Republic,2006,0.742290019989014,10.0542402267456,1.41506004333496,6.0222025,,0.55204999447,36.752609253
Central African Republic,2007,0.629719972610474,9.86948013305664,1.31332004070282,6.1463685,,0.55204999447,36.752609253
Central African Republic,2009,0.631569981575012,7.83692979812622,1.25458002090454,6.3947,,0.55204999447,36.752609253
Chad,2005,0.775950014591217,14.6728200912476,1.69476997852325,5.46271,,0.57300001383,28.381429672
Chad,2009,1.36951005458832,9.54158973693848,2.3117399215698198,6.62844,,0.57300001383,28.381429672
Chad,2010,1.02305996417999,8.1192798614502,1.98194003105164,6.61656,,0.57300001383,28.381429672
Chad,2011,0.918210029602051,10.0832595825195,2.25789999961853,7.25084,,0.57300001383,28.381429672
Comoros,2002,1.75460004806519,15.789719581604,2.25841999053955,9.30356,,0.94288998842,49.196140289
Comoros,2008,4.81102991104126,29.2331199645996,4.42264986038208,10.4439,,0.94288998842,49.196140289
Comoros,2011,2.86803007125854,21.4148693084717,2.8304500579834,10.92651,,0.94288998842,49.196140289
Congo,2002,1.13445997238159,9.05484962463379,3.20831990242004,9.15739,,,
Congo,2005,0.500329971313477,7.59781980514526,1.6810200214386,9.314948,,,
Congo,2010,1.92833995819092,24.7277793884277,5.6867299079895,10.327842,,,
Cote d'Ivoire,2001,1.54872000217438,23.2020301818848,3.66867995262146,6.842541,7.2199997902,0.66430002451,40.981628418
Democratic Republic of Congo,2010,0.534189999103546,9.57849979400635,1.5249799489975,9.199039,,,
Democratic Republic of Congo,2013,1.38261997699738,16.1747398376465,2.06221008300781,9.60517,,,
Djibouti,2006,1.45489001274109,24.7079601287842,8.27877998352051,4.50621,,,
Djibouti,2007,1.59836995601654,22.5274391174316,8.40625,4.97239,,,
Djibouti,2010,1.53056001663208,12.3283996582031,4.49022006988525,6.01978,,,
Eritrea,2001,1.07383000850677,5.8616099357605,4.04716014862061,6.51813,,0.80557000637,52.513950348
Belize,2012,2.44004011154175,20.8250846862793,6.246195077896115,12.90537,8.1800003052,1.0076400042,76.90297699
Bolivia,2010,2.99575996398926,,,14.249794,4.4699997902,0.97185081244,86.723670959
Cape Verde,2005,3.41736006736755,14.7782297134399,5.00144004821777,11.57098,,,
Djibouti,2008,1.59657001495361,12.3283996582031,4.49022006988525,5.33715,,,
Dominica,2007,1.6745400428772,,,12.94752,,,
Dominica,2008,2.06086993217468,,,12.98356,,,
Dominica,2009,1.58120000362396,,,13.0196,,,
Dominica,2010,1.7288099527359,,,13.05564,,,
Dominica,2011,1.70695996284485,,,13.06678,,,
Dominica,2012,1.54972004890442,,,13.098067,,,
