,NGH_Name,Assault (Non-domestic),Break & Enter,Robbery,Theft FROM Vehicle,Theft OF Vehicle,Violence Other (Non-domestic),Latitude,Longitude,Cluster_KMeans
143,MAPLE RIDGE,1,18,0,29,2,1,50.95763947437798,-114.034678452994,6
144,MARLBOROUGH,37,69,17,150,93,14,51.05954540129505,-113.96998802330802,2
145,MARLBOROUGH PARK,23,74,9,112,64,12,51.05969184952688,-113.946717348392,2
146,MARTINDALE,31,80,11,112,80,11,51.1179137259381,-113.958387117131,2
147,MAYFAIR,1,11,0,8,1,0,50.995804495657985,-114.088959066605,6
148,MAYLAND,5,10,0,10,8,1,51.052393406405,-114.01029661308299,4
149,MAYLAND HEIGHTS,11,37,3,101,40,6,51.06082771374106,-114.013325241169,7
150,MCCALL,1,28,1,26,13,2,51.08899753729994,-114.027096673406,4
151,MCKENZIE LAKE,3,35,2,88,31,5,50.91488084320795,-113.988181270218,0
152,MCKENZIE TOWNE,9,116,2,108,56,10,50.91715564522302,-113.961056765096,5
153,MEADOWLARK PARK,15,24,3,50,15,8,50.99782962994893,-114.077355421758,8
154,MERIDIAN,11,22,4,33,35,1,51.05658668369403,-113.996513423842,7
155,MIDNAPORE,1,40,1,84,28,5,50.91563847466387,-114.05761494838401,0
156,MILLRISE,7,24,1,33,13,4,50.91704529217809,-114.084903663845,6
157,MISSION,12,51,5,54,19,5,51.03315839542707,-114.06808323713899,8
158,MONTEREY PARK,4,38,1,40,41,4,51.081459464825,-113.92685104381499,7
159,MONTGOMERY,12,45,6,112,40,9,51.07110787892597,-114.162275611864,5
160,MOUNT PLEASANT,17,92,0,91,38,5,51.07423069637706,-114.076027846354,5
161,NEW BRIGHTON,5,26,1,63,23,3,50.922044539383975,-113.945316456834,0
162,NOLAN HILL,3,20,0,16,8,0,51.17545477193003,-114.166370978468,1
163,NORTH AIRWAYS,3,13,0,20,9,2,51.087142696651064,-114.007526044103,4
164,NORTH GLENMORE PARK,4,17,1,19,13,2,51.0014223765211,-114.112246566894,6
165,NORTH HAVEN,3,16,0,36,6,0,51.09594155155808,-114.089420575114,1
166,NORTH HAVEN UPPER,0,5,0,2,2,0,51.10440179087005,-114.085354303554,4
167,NOSE HILL PARK,0,0,0,15,0,1,51.11127714093488,-114.11069096475,1
168,OAKRIDGE,3,15,1,31,13,2,50.969739206709086,-114.129609099121,6
169,OGDEN,26,54,2,75,36,12,50.99209613135498,-114.012584731192,0
170,OGDEN SHOPS,1,5,0,3,4,2,50.99132888252992,-113.993241539047,6
171,PALLISER,2,17,0,20,3,3,50.96676468628598,-114.11215380042398,6
172,PANORAMA HILLS,4,56,2,77,18,7,51.1597110110759,-114.088063406263,8
173,PARKDALE,9,25,0,25,11,2,51.05994270233503,-114.13533705623999,1
174,PARKHILL,3,30,1,27,7,1,51.01817361313602,-114.065551835538,6
175,PARKLAND,4,20,0,20,5,0,50.92119720014001,-114.028539401913,6
176,PATTERSON,1,15,0,16,6,2,51.06383944197791,-114.177050063813,1
177,PEGASUS,0,1,1,5,2,0,51.094479425737084,-114.00649801893398,4
178,PENBROOKE MEADOWS,22,67,3,107,65,11,51.045865617281905,-113.947516195404,5
179,PINERIDGE,41,78,13,130,88,20,51.074259757627864,-113.94676495577198,2
