,NGH_Name,Assault,Break and Enter,Homicide,Robbery,Sexual Assaults,Theft From Vehicle,Theft Of Vehicle,Theft Over $5000,Latitude,Longitude,Preschool,Kindergarten,Gr7-9,Gr10-12,Post-Secondary,Homemaker,Employed 0-30,Employed 30+,Unemployed,Retired,Permanently Unemployed,Employment_No Response,Income_Less than $30K,Income_30K to less than 60K,Income_60K to less than 100K,Income_100K to less than 125K,Income_125K to less than 150K,Income_150K to less than 200K,Income_200K to less than 250K,Income_250K or more,Income_No Response
66,DELWOOD,16,22,0,2,2,59,17,1,53.595949,-113.45513,103.0,161.0,79.0,56.0,45.0,59.0,142.0,764.0,120.0,588.0,39.0,1157.0,113.0,194.0,146.0,71.0,35.0,40.0,10.0,4.0,723.0
67,DONSDALE,1,6,0,0,0,7,0,0,53.48563,-113.63546,30.0,82.0,46.0,44.0,64.0,38.0,78.0,458.0,17.0,161.0,1.0,455.0,6.0,19.0,34.0,18.0,27.0,44.0,21.0,77.0,282.0
68,DOVERCOURT,5,18,0,0,5,26,17,0,53.575727,-113.559534,86.0,125.0,39.0,31.0,22.0,36.0,118.0,782.0,94.0,254.0,26.0,502.0,61.0,160.0,159.0,87.0,45.0,48.0,15.0,6.0,285.0
69,DOWNTOWN,436,123,1,83,47,316,87,10,53.539767,-113.499421,105.0,52.0,17.0,18.0,883.0,80.0,369.0,3736.0,346.0,1066.0,118.0,5978.0,972.0,994.0,1093.0,425.0,199.0,198.0,68.0,81.0,4660.0
70,DUGGAN,10,12,0,6,1,22,10,1,53.471509999999995,-113.50605800000001,247.0,346.0,159.0,124.0,160.0,161.0,332.0,1453.0,249.0,589.0,39.0,674.0,188.0,283.0,283.0,164.0,92.0,74.0,29.0,20.0,555.0
71,DUNLUCE,35,22,0,8,2,61,38,0,53.621473,-113.530183,236.0,341.0,165.0,138.0,117.0,145.0,301.0,1677.0,250.0,514.0,79.0,2360.0,203.0,317.0,312.0,122.0,69.0,60.0,10.0,8.0,1286.0
72,EASTWOOD,112,52,0,34,4,91,58,4,53.576105,-113.46873,123.0,144.0,68.0,62.0,66.0,73.0,138.0,857.0,229.0,379.0,142.0,1734.0,341.0,306.0,173.0,42.0,12.0,12.0,4.0,1.0,1006.0
73,EAUX CLAIRES,15,11,0,6,5,39,16,2,53.621638999999995,-113.485637,142.0,185.0,97.0,85.0,147.0,92.0,132.0,1170.0,100.0,246.0,26.0,1005.0,56.0,166.0,222.0,95.0,55.0,45.0,23.0,20.0,570.0
74,EDGEMONT,2,7,0,0,0,4,3,1,53.469743,-113.670843,103.0,61.0,29.0,22.0,22.0,34.0,46.0,323.0,19.0,47.0,1.0,829.0,4.0,31.0,71.0,48.0,32.0,47.0,23.0,11.0,271.0
75,EKOTA,7,8,0,0,1,20,4,1,53.44941,-113.442336,97.0,157.0,70.0,67.0,56.0,47.0,116.0,602.0,107.0,233.0,18.0,845.0,53.0,107.0,108.0,35.0,24.0,29.0,8.0,3.0,546.0
76,ELLERSLIE,10,14,0,2,3,27,17,0,53.428545,-113.457731,319.0,452.0,129.0,81.0,123.0,154.0,213.0,1707.0,194.0,166.0,17.0,1985.0,41.0,148.0,290.0,138.0,71.0,56.0,19.0,7.0,1213.0
77,ELMWOOD,6,8,0,0,1,21,7,2,53.515738,-113.605993,129.0,177.0,86.0,74.0,91.0,59.0,148.0,1065.0,152.0,402.0,36.0,302.0,112.0,260.0,228.0,80.0,33.0,22.0,4.0,4.0,255.0
78,ELSINORE,0,7,0,0,1,22,2,1,53.640763,-113.499402,61.0,150.0,74.0,62.0,93.0,57.0,104.0,605.0,47.0,299.0,11.0,747.0,17.0,55.0,98.0,40.0,48.0,39.0,10.0,20.0,463.0
79,EMPIRE PARK,49,27,0,18,13,105,45,3,53.484366,-113.505859,194.0,204.0,83.0,76.0,401.0,113.0,236.0,1340.0,204.0,377.0,48.0,1626.0,128.0,385.0,345.0,79.0,19.0,10.0,3.0,1.0,1330.0
80,ERMINESKIN,13,20,0,4,7,53,25,0,53.45763899999999,-113.50572800000002,206.0,222.0,102.0,89.0,177.0,131.0,254.0,1580.0,225.0,800.0,49.0,1406.0,367.0,531.0,322.0,94.0,60.0,45.0,28.0,11.0,986.0
81,EVANSDALE,15,16,0,8,5,70,45,0,53.610841,-113.479569,332.0,400.0,158.0,122.0,97.0,199.0,257.0,1295.0,254.0,656.0,84.0,1950.0,298.0,460.0,223.0,75.0,44.0,26.0,11.0,5.0,974.0
82,FALCONER HEIGHTS,0,4,0,0,0,6,0,0,53.466721,-113.588524,32.0,97.0,57.0,51.0,79.0,46.0,74.0,399.0,52.0,317.0,7.0,756.0,39.0,79.0,88.0,53.0,52.0,53.0,29.0,38.0,378.0
83,FOREST HEIGHTS,20,36,0,4,3,52,31,3,53.544537,-113.45125,115.0,174.0,76.0,54.0,80.0,57.0,166.0,1227.0,126.0,587.0,51.0,1388.0,199.0,240.0,262.0,102.0,61.0,89.0,37.0,52.0,855.0
84,FRASER,7,8,0,0,1,35,7,2,53.610382,-113.374782,161.0,225.0,97.0,66.0,92.0,77.0,180.0,1105.0,120.0,246.0,42.0,1078.0,84.0,157.0,190.0,104.0,53.0,49.0,16.0,15.0,607.0
85,FULTON PLACE,3,19,0,0,0,30,10,1,53.546295,-113.427466,60.0,101.0,50.0,32.0,39.0,31.0,105.0,539.0,66.0,375.0,13.0,590.0,56.0,95.0,111.0,66.0,38.0,47.0,17.0,7.0,501.0
86,GAINER INDUSTRIAL,1,7,0,0,0,3,0,0,53.516111,-113.424517,6.0,8.0,4.0,3.0,17.0,4.0,24.0,188.0,14.0,54.0,7.0,80.0,9.0,29.0,58.0,24.0,9.0,8.0,1.0,3.0,94.0
87,GARIEPY,0,10,0,0,1,13,4,0,53.493596,-113.622657,41.0,66.0,32.0,26.0,38.0,26.0,92.0,518.0,27.0,233.0,4.0,654.0,14.0,185.0,74.0,33.0,20.0,28.0,16.0,19.0,348.0
88,GARNEAU,33,78,0,17,2,83,33,1,53.519911,-113.51353600000002,109.0,105.0,24.0,17.0,1621.0,60.0,268.0,1732.0,287.0,538.0,45.0,4984.0,1044.0,523.0,423.0,132.0,78.0,89.0,33.0,61.0,3183.0
